learnerID,sitesVisited,step,pr(rr),pr(fr),pr(sr),randomNumber
1,4,0,0.238,0.877,0.163,0.882782
1,4,1,0.238,0.877,0.163,0.927795
1,4,2,0.238,0.877,0.163,0.895477
1,4,3,0.238,0.877,0.163,0.723175
2,8,0,0.201,0.881,0.16,0.804321
2,8,1,0.201,0.881,0.16,0.520782
2,8,2,0.201,0.881,0.16,0.64975
2,8,3,0.201,0.881,0.16,0.712738
2,8,4,0.201,0.881,0.16,0.933533
2,8,5,0.201,0.881,0.16,0.205444
2,8,6,0.201,0.881,0.16,0.673706
2,8,7,0.201,0.881,0.16,0.636658
3,10,0,0.215,0.875,0.15,0.06958
3,10,0,0.215,0.875,0.15,0.014069
3,10,0,0.215,0.875,0.15,0.238617
3,10,1,0.215,0.875,0.15,0.494934
3,10,2,0.215,0.875,0.15,0.339813
3,10,3,0.215,0.875,0.15,0.254211
3,10,4,0.215,0.875,0.15,0.979401
3,10,5,0.215,0.875,0.15,0.231873
3,10,6,0.215,0.875,0.15,0.9422
3,10,7,0.215,0.875,0.15,0.603882
3,10,8,0.215,0.875,0.15,0.192261
3,10,8,0.215,0.875,0.15,0.462311
3,10,8,0.215,0.875,0.15,0.750214
3,10,9,0.215,0.875,0.15,0.17923
3,10,9,0.215,0.875,0.15,0.647583
3,10,9,0.215,0.875,0.15,0.456329
4,13,0,0.229,0.865,0.154,0.121552
4,13,0,0.229,0.865,0.154,0.041229
4,13,0,0.229,0.865,0.154,0.755615
4,13,1,0.229,0.865,0.154,0.98056
4,13,2,0.229,0.865,0.154,0.14563
4,13,2,0.229,0.865,0.154,0.903534
4,13,3,0.229,0.865,0.154,0.002136
4,13,3,0.229,0.865,0.154,0.753967
4,13,3,0.229,0.865,0.154,0.596649
4,13,4,0.229,0.865,0.154,0.755157
4,13,5,0.229,0.865,0.154,0.533417
4,13,6,0.229,0.865,0.154,0.76059
4,13,7,0.229,0.865,0.154,0.955322
4,13,8,0.229,0.865,0.154,0.87738
4,13,9,0.229,0.865,0.154,0.885071
4,13,10,0.229,0.865,0.154,0.190002
4,13,10,0.229,0.865,0.154,0.02951
4,13,10,0.229,0.865,0.154,0.815338
4,13,11,0.229,0.865,0.154,0.853302
4,13,12,0.229,0.865,0.154,0.406372
5,9,0,0.22,0.871,0.172,0.686981
5,9,1,0.22,0.871,0.172,0.791687
5,9,2,0.22,0.871,0.172,0.729034
5,9,3,0.22,0.871,0.172,0.401642
5,9,4,0.22,0.871,0.172,0.208557
5,9,4,0.22,0.871,0.172,0.633575
5,9,4,0.22,0.871,0.172,0.141663
5,9,4,0.22,0.871,0.172,0.433685
5,9,5,0.22,0.871,0.172,0.351715
5,9,6,0.22,0.871,0.172,0.435242
5,9,7,0.22,0.871,0.172,0.84079
5,9,8,0.22,0.871,0.172,0.86377
6,19,0,0.22,0.863,0.181,0.270172
6,19,1,0.22,0.863,0.181,0.875732
6,19,2,0.22,0.863,0.181,0.150024
6,19,2,0.22,0.863,0.181,0.297302
6,19,2,0.22,0.863,0.181,0.29361
6,19,3,0.22,0.863,0.181,0.34259
6,19,4,0.22,0.863,0.181,0.54306
6,19,5,0.22,0.863,0.181,0.437683
6,19,6,0.22,0.863,0.181,0.456329
6,19,7,0.22,0.863,0.181,0.082062
6,19,7,0.22,0.863,0.181,0.281738
6,19,7,0.22,0.863,0.181,0.852966
6,19,8,0.22,0.863,0.181,0.755493
6,19,9,0.22,0.863,0.181,0.255219
6,19,10,0.22,0.863,0.181,0.414825
6,19,11,0.22,0.863,0.181,0.405853
6,19,12,0.22,0.863,0.181,0.109711
6,19,12,0.22,0.863,0.181,0.260498
6,19,12,0.22,0.863,0.181,0.404205
6,19,13,0.22,0.863,0.181,0.10199
6,19,13,0.22,0.863,0.181,0.217285
6,19,13,0.22,0.863,0.181,0.413177
6,19,14,0.22,0.863,0.181,0.111298
6,19,14,0.22,0.863,0.181,0.997253
6,19,15,0.22,0.863,0.181,0.521576
