learnerID,sitesVisited,step,pr(rr),pr(fr),pr(sr),randomNumber,nodeRecommendationID
1,4,2,0.238,0.877,0.163,0.468903,0
2,8,4,0.201,0.881,0.16,0.992706,0
2,8,5,0.201,0.881,0.16,0.090912,1
3,10,0,0.215,0.875,0.15,0.522522,0
3,10,7,0.215,0.875,0.15,0.138763,1
4,13,0,0.229,0.865,0.154,0.898346,0
4,13,10,0.229,0.865,0.154,0.108002,1
5,9,1,0.22,0.871,0.172,0.865936,0
5,9,2,0.22,0.871,0.172,0.533722,3
5,9,3,0.22,0.871,0.172,0.034546,5
5,9,7,0.22,0.871,0.172,0.178162,8
5,9,8,0.22,0.871,0.172,0.473572,7
6,19,2,0.22,0.863,0.181,0.175598,0
6,19,3,0.22,0.863,0.181,0.778473,7
6,19,5,0.22,0.863,0.181,0.637726,1
6,19,15,0.22,0.863,0.181,0.569397,6
6,19,16,0.22,0.863,0.181,0.796539,5
7,8,0,0.209,0.866,0.153,0.686859,6
8,10,1,0.223,0.887,0.165,0.430603,6
8,10,2,0.223,0.887,0.165,0.862854,9
8,10,3,0.223,0.887,0.165,0.21048,4
9,13,0,0.199,0.871,0.156,0.071075,9
9,13,2,0.199,0.871,0.156,0.310028,4
9,13,5,0.199,0.871,0.156,0.373413,6
12,19,3,0.221,0.877,0.142,0.204102,9
12,19,4,0.221,0.877,0.142,0.679291,4
12,19,10,0.221,0.877,0.142,0.832428,6
12,19,13,0.221,0.877,0.142,0.779694,7
12,19,18,0.221,0.877,0.142,0.770355,5
13,8,0,0.232,0.87,0.181,0.682709,5
13,8,6,0.232,0.87,0.181,0.798492,9
14,7,0,0.219,0.871,0.161,0.724731,9
14,7,3,0.219,0.871,0.161,0.945587,4
14,7,4,0.219,0.871,0.161,0.634003,7
15,15,1,0.218,0.879,0.17,0.57724,5
15,15,6,0.218,0.879,0.17,0.80542,9
15,15,12,0.218,0.879,0.17,0.651093,3
15,15,14,0.218,0.879,0.17,0.083862,8
16,8,1,0.201,0.854,0.167,0.49353,5
16,8,3,0.201,0.854,0.167,0.633057,9
17,16,0,0.22,0.885,0.159,0.598175,5
17,16,4,0.22,0.885,0.159,0.789978,4
17,16,9,0.22,0.885,0.159,0.918518,1
18,10,4,0.213,0.871,0.173,0.816467,1
18,10,5,0.213,0.871,0.173,0.147949,7
18,10,8,0.213,0.871,0.173,0.180847,5
19,5,3,0.203,0.874,0.147,0.132507,1
20,16,1,0.203,0.875,0.159,0.850281,1
20,16,6,0.203,0.875,0.159,0.740845,2
20,16,14,0.203,0.875,0.159,0.131531,8
21,6,1,0.224,0.868,0.161,0.79361,2
21,6,2,0.224,0.868,0.161,0.351807,1
22,11,2,0.213,0.886,0.179,0.580292,2
22,11,10,0.213,0.886,0.179,0.759186,1
23,1,0,0.201,0.886,0.163,0.626892,2
24,12,4,0.204,0.882,0.181,0.355621,2
24,12,10,0.204,0.882,0.181,0.691833,1
25,15,1,0.222,0.878,0.162,0.529846,2
25,15,2,0.222,0.878,0.162,0.240936,1
25,15,6,0.222,0.878,0.162,0.999908,6
26,20,3,0.21,0.877,0.164,0.561859,6
26,20,13,0.21,0.877,0.164,0.09787,5
26,20,17,0.21,0.877,0.164,0.235229,7
26,20,19,0.21,0.877,0.164,0.204376,3
27,10,0,0.197,0.884,0.171,0.696014,6
27,10,9,0.197,0.884,0.171,0.678741,5
28,20,0,0.222,0.858,0.156,0.381805,6
28,20,4,0.222,0.858,0.156,0.461914,5
28,20,6,0.222,0.858,0.156,0.607544,7
28,20,9,0.222,0.858,0.156,0.472473,3
28,20,16,0.222,0.858,0.156,0.982666,1
29,20,1,0.225,0.848,0.187,0.627319,6
29,20,9,0.225,0.848,0.187,0.6492,5
29,20,10,0.225,0.848,0.187,0.375366,7
29,20,11,0.225,0.848,0.187,0.836304,8
29,20,14,0.225,0.848,0.187,0.79245,3
29,20,16,0.225,0.848,0.187,0.703217,9
30,13,1,0.214,0.883,0.167,0.684082,8
30,13,3,0.214,0.883,0.167,0.001404,5
30,13,5,0.214,0.883,0.167,0.020874,0
31,10,7,0.21,0.878,0.158,0.794159,8
32,15,8,0.224,0.892,0.171,0.845612,8
32,15,10,0.224,0.892,0.171,0.533813,5
33,22,5,0.215,0.885,0.181,0.591248,4
33,22,9,0.215,0.885,0.181,0.759949,7
33,22,14,0.215,0.885,0.181,0.077026,6
33,22,17,0.215,0.885,0.181,0.202698,9
35,23,0,0.211,0.883,0.171,0.748901,4
35,23,6,0.211,0.883,0.171,0.567627,7
35,23,18,0.211,0.883,0.171,0.280182,6
35,23,21,0.211,0.883,0.171,0.032349,9
36,19,1,0.226,0.864,0.15,0.190552,4
36,19,6,0.226,0.864,0.15,0.409332,7
36,19,8,0.226,0.864,0.15,0.645538,6
36,19,9,0.226,0.864,0.15,0.396088,9
36,19,11,0.226,0.864,0.15,0.114716,0
36,19,12,0.226,0.864,0.15,0.933105,8
36,19,18,0.226,0.864,0.15,0.875183,5
37,9,0,0.204,0.862,0.175,0.588165,4
37,9,1,0.204,0.862,0.175,0.427277,0
37,9,3,0.204,0.862,0.175,0.159698,8
37,9,7,0.204,0.862,0.175,0.393951,7
37,9,8,0.204,0.862,0.175,0.830139,6
38,27,2,0.186,0.87,0.168,0.124207,0
38,27,5,0.186,0.87,0.168,0.624023,7
38,27,8,0.186,0.87,0.168,0.709198,1
38,27,12,0.186,0.87,0.168,0.550629,2
38,27,21,0.186,0.87,0.168,0.676941,8
38,27,25,0.186,0.87,0.168,0.607544,3
40,16,10,0.217,0.889,0.162,0.53714,0
41,17,0,0.222,0.866,0.147,0.55365,6
41,17,3,0.222,0.866,0.147,0.726715,4
41,17,7,0.222,0.866,0.147,0.154602,2
41,17,8,0.222,0.866,0.147,0.553986,1
43,19,4,0.208,0.866,0.186,0.88443,6
43,19,5,0.208,0.866,0.186,0.16394,4
43,19,8,0.208,0.866,0.186,0.031708,2
43,19,10,0.208,0.866,0.186,0.287872,1
43,19,12,0.208,0.866,0.186,0.828369,5
43,19,13,0.208,0.866,0.186,0.138245,7
44,18,1,0.229,0.874,0.148,0.320465,6
44,18,7,0.229,0.874,0.148,0.393402,5
44,18,9,0.229,0.874,0.148,0.963501,7
44,18,11,0.229,0.874,0.148,0.255554,4
44,18,17,0.229,0.874,0.148,0.624329,1
45,23,3,0.212,0.857,0.18,0.367828,6
45,23,8,0.212,0.857,0.18,0.273468,5
45,23,17,0.212,0.857,0.18,0.758301,7
45,23,21,0.212,0.857,0.18,0.152191,3
45,23,22,0.212,0.857,0.18,0.7146,1
46,15,2,0.215,0.874,0.166,0.776428,6
46,15,5,0.215,0.874,0.166,0.072937,5
46,15,9,0.215,0.874,0.166,0.144043,7
46,15,10,0.215,0.874,0.166,0.6474,3
46,15,12,0.215,0.874,0.166,0.698547,1
46,15,13,0.215,0.874,0.166,0.356506,9
47,10,0,0.204,0.889,0.168,0.728241,6
47,10,1,0.204,0.889,0.168,0.907898,5
47,10,7,0.204,0.889,0.168,0.950684,7
48,11,5,0.235,0.876,0.14,0.440125,6
49,29,4,0.196,0.879,0.164,0.127228,6
49,29,5,0.196,0.879,0.164,0.207428,5
49,29,7,0.196,0.879,0.164,0.77063,7
49,29,9,0.196,0.879,0.164,0.493408,3
49,29,12,0.196,0.879,0.164,0.116058,1
49,29,15,0.196,0.879,0.164,0.266205,9
49,29,19,0.196,0.879,0.164,0.271454,4
49,29,20,0.196,0.879,0.164,0.506927,8
49,29,21,0.196,0.879,0.164,0.996185,2
49,29,23,0.196,0.879,0.164,0.456055,0
50,11,1,0.227,0.872,0.161,0.353546,6
50,11,7,0.227,0.872,0.161,0.156403,5
52,16,0,0.214,0.861,0.158,0.444183,6
52,16,1,0.214,0.861,0.158,0.453064,5
52,16,8,0.214,0.861,0.158,0.940308,7
52,16,10,0.214,0.861,0.158,0.160645,3
52,16,12,0.214,0.861,0.158,0.380676,1
52,16,13,0.214,0.861,0.158,0.468475,0
53,21,7,0.213,0.877,0.152,0.58429,5
53,21,12,0.213,0.877,0.152,0.638458,7
53,21,14,0.213,0.877,0.152,0.016449,6
54,20,13,0.213,0.88,0.162,0.051514,5
55,20,1,0.214,0.885,0.152,0.172699,5
55,20,4,0.214,0.885,0.152,0.749207,8
55,20,5,0.214,0.885,0.152,0.354828,2
55,20,12,0.214,0.885,0.152,0.310455,0
55,20,13,0.214,0.885,0.152,0.533997,6
56,12,10,0.225,0.878,0.157,0.972076,5
57,27,1,0.2,0.865,0.169,0.464325,5
57,27,10,0.2,0.865,0.169,0.482239,8
57,27,17,0.2,0.865,0.169,0.378693,2
57,27,20,0.2,0.865,0.169,0.364044,7
58,10,2,0.205,0.87,0.162,0.504242,5
58,10,7,0.205,0.87,0.162,0.047516,2
58,10,9,0.205,0.87,0.162,0.022156,7
59,19,1,0.222,0.869,0.161,0.802155,5
59,19,2,0.222,0.869,0.161,0.440765,2
59,19,5,0.222,0.869,0.161,0.994995,7
59,19,10,0.222,0.869,0.161,0.399231,6
59,19,18,0.222,0.869,0.161,0.670319,0
60,19,0,0.205,0.864,0.158,0.770721,5
60,19,7,0.205,0.864,0.158,0.444489,2
60,19,17,0.205,0.864,0.158,0.689117,7
61,9,2,0.234,0.885,0.157,0.608063,5
61,9,7,0.234,0.885,0.157,0.394684,2
61,9,8,0.234,0.885,0.157,0.761658,7
62,4,0,0.236,0.884,0.168,0.517059,5
62,4,1,0.236,0.884,0.168,0.300446,2
63,14,9,0.217,0.88,0.158,0.544037,5
63,14,10,0.217,0.88,0.158,0.388367,2
63,14,13,0.217,0.88,0.158,0.785187,7
64,14,7,0.203,0.902,0.153,0.447662,2
64,14,12,0.203,0.902,0.153,0.399963,6
65,18,3,0.204,0.878,0.172,0.389252,2
65,18,9,0.204,0.878,0.172,0.445221,6
65,18,16,0.204,0.878,0.172,0.917938,7
66,17,8,0.211,0.857,0.171,0.327728,2
66,17,10,0.211,0.857,0.171,0.557343,6
66,17,13,0.211,0.857,0.171,0.986633,7
67,9,0,0.209,0.865,0.155,0.936249,2
67,9,6,0.209,0.865,0.155,0.472168,6
67,9,8,0.209,0.865,0.155,0.59787,7
68,17,1,0.222,0.872,0.169,0.15744,2
68,17,3,0.222,0.872,0.169,0.158386,6
68,17,6,0.222,0.872,0.169,0.342804,7
68,17,9,0.222,0.872,0.169,0.91806,0
68,17,10,0.222,0.872,0.169,0.522797,4
69,19,5,0.226,0.871,0.174,0.617249,2
69,19,11,0.226,0.871,0.174,0.170135,5
70,13,0,0.212,0.871,0.166,0.875732,2
70,13,2,0.212,0.871,0.166,0.95459,5
70,13,11,0.212,0.871,0.166,0.479645,1
71,20,8,0.189,0.874,0.161,0.078186,2
72,13,2,0.221,0.887,0.206,0.391174,2
72,13,3,0.221,0.887,0.206,0.132843,7
72,13,9,0.221,0.887,0.206,0.012939,1
72,13,12,0.221,0.887,0.206,0.169281,5
73,18,8,0.207,0.879,0.131,0.193512,2
73,18,13,0.207,0.879,0.131,0.081787,7
74,21,1,0.228,0.885,0.184,0.126801,6
74,21,3,0.228,0.885,0.184,0.381409,2
74,21,4,0.228,0.885,0.184,0.71347,1
74,21,16,0.228,0.885,0.184,0.557465,5
76,20,7,0.213,0.869,0.169,0.757416,6
76,20,11,0.213,0.869,0.169,0.021667,5
77,17,7,0.196,0.897,0.194,0.683075,6
77,17,12,0.196,0.897,0.194,0.571503,5
77,17,16,0.196,0.897,0.194,0.226044,8
78,20,3,0.219,0.868,0.184,0.027283,5
78,20,7,0.219,0.868,0.184,0.665375,8
