learnerID,sitesVisited,step,pr(rr),pr(fr),pr(sr),randomNumber,nodeRecommendationID
1,4,1,0.238,0.877,0.163,0.571259,0
1,4,2,0.238,0.877,0.163,0.837921,1
1,4,3,0.238,0.877,0.163,0.497314,2
2,8,0,0.201,0.881,0.16,0.550507,0
2,8,4,0.201,0.881,0.16,0.291199,1
3,10,2,0.215,0.875,0.15,0.79425,0
3,10,5,0.215,0.875,0.15,0.493591,1
4,13,11,0.229,0.865,0.154,0.881226,0
4,13,12,0.229,0.865,0.154,0.564575,1
5,9,2,0.22,0.871,0.172,0.610626,0
5,9,4,0.22,0.871,0.172,0.715454,1
5,9,5,0.22,0.871,0.172,0.091309,2
5,9,6,0.22,0.871,0.172,0.393219,3
6,19,2,0.22,0.863,0.181,0.7052,0
6,19,11,0.22,0.863,0.181,0.853699,1
8,10,2,0.223,0.887,0.165,0.500732,0
8,10,4,0.223,0.887,0.165,0.088074,1
9,13,1,0.199,0.871,0.156,0.286041,0
9,13,3,0.199,0.871,0.156,0.890228,6
9,13,11,0.199,0.871,0.156,0.97406,4
9,13,12,0.199,0.871,0.156,0.086334,2
10,7,4,0.2,0.876,0.158,0.468964,6
10,7,6,0.2,0.876,0.158,0.455597,4
11,2,0,0.194,0.867,0.189,0.905365,6
12,19,2,0.221,0.877,0.142,0.573242,6
12,19,3,0.221,0.877,0.142,0.241486,2
12,19,6,0.221,0.877,0.142,0.306549,1
12,19,8,0.221,0.877,0.142,0.51532,5
12,19,10,0.221,0.877,0.142,0.416504,7
12,19,15,0.221,0.877,0.142,0.383514,8
12,19,18,0.221,0.877,0.142,0.080444,3
13,8,5,0.232,0.87,0.181,0.499481,3
13,8,7,0.232,0.87,0.181,0.886993,9
14,7,0,0.219,0.871,0.161,0.58316,3
15,15,4,0.218,0.879,0.17,0.883789,9
15,15,7,0.218,0.879,0.17,0.421631,1
15,15,12,0.218,0.879,0.17,0.987885,6
16,8,5,0.201,0.854,0.167,0.597504,9
17,16,8,0.22,0.885,0.159,0.925201,9
17,16,11,0.22,0.885,0.159,0.576782,1
18,10,6,0.213,0.871,0.173,0.509918,9
19,5,0,0.203,0.874,0.147,0.573944,9
19,5,4,0.203,0.874,0.147,0.590057,1
20,16,4,0.203,0.875,0.159,0.402893,9
20,16,8,0.203,0.875,0.159,0.852448,1
20,16,11,0.203,0.875,0.159,0.352203,6
20,16,14,0.203,0.875,0.159,0.250549,3
20,16,15,0.203,0.875,0.159,0.653473,8
21,6,1,0.224,0.868,0.161,0.02951,3
21,6,3,0.224,0.868,0.161,0.361938,8
21,6,4,0.224,0.868,0.161,0.218262,5
22,11,7,0.213,0.886,0.179,0.074829,3
24,12,1,0.204,0.882,0.181,0.584961,3
